symbol,company_name,sector,current_price,num_analysts,long_term_score,value_score_v2,forward_pe,peg_ratio,sentiment_score,article_count,positive_pct,past_30d_return,sentiment_quintile
NOW,"ServiceNow, Inc.",Technology,120.44,18,30.0,18.0,23.9,1.16,45.0,20.0,50.0,-19.735772357723576,Q1 (Low)
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,23.145,18,50.0,45.0,7.76,0.53,78.0,20.0,80.0,4.495128432240924,Q4
UA,"Under Armour, Inc.",Consumer Cyclical,5.965,18,33.0,0.0,27.62,0.08,58.0,20.0,50.0,17.926356589147282,Q1 (Low)
AAPL,Apple Inc.,Technology,269.48,18,48.0,8.0,29.19,3.04,63.0,20.0,70.0,-2.9110229738831,Q1 (Low)
HOOD,"Robinhood Markets, Inc.",Financial Services,90.81,18,25.0,0.0,30.73,1.99,64.0,20.0,70.0,-19.27945472249269,Q1 (Low)
GSK,GSK plc,Healthcare,52.455,18,45.0,37.0,9.85,1.12,79.0,20.0,85.0,5.263157894736838,Q4
GFL,GFL Environmental Inc.,Industrials,42.92,18,51.0,53.0,31.32,0.83,77.0,20.0,90.0,0.679793717768416,Q3
CSCO,"Cisco Systems, Inc.",Technology,80.92,18,43.0,20.0,18.06,2.09,80.0,20.0,90.0,3.625297697803645,Q4
CP,Canadian Pacific Kansas City Ltd.,Industrials,74.045,18,26.0,34.0,16.91,1.21,75.0,20.0,85.0,2.2417824233255534,Q3
CDNS,"Cadence Design Systems, Inc.",Technology,294.144,18,10.0,0.0,31.88,2.17,71.0,20.0,65.0,-1.613438682690397,Q2
BILL,"Bill.com Holdings, Inc.",Technology,42.9975,18,50.0,31.0,16.75,1.13,81.0,20.0,90.0,-19.56400223588597,Q4
BHP,BHP Group Limited,Basic Materials,69.6,18,50.0,30.0,14.62,,74.0,20.0,85.0,8.853341780171053,Q3
ASML,ASML Holding N.V.,Technology,1445.09,18,58.0,24.0,32.67,1.18,75.0,20.0,75.0,15.861552365676316,Q3
RPD,"Rapid7, Inc.",Technology,12.18,18,21.0,16.0,5.87,1.04,63.0,12.0,75.0,-15.160142348754455,Q1 (Low)
PEP,"PepsiCo, Inc.",Consumer Defensive,155.085,18,41.0,12.0,17.13,2.9,69.0,20.0,75.0,9.79845626072042,Q2
MU,"Micron Technology, Inc.",Technology,437.83,18,51.0,14.0,10.06,0.31,69.0,20.0,70.0,32.91045971488067,Q2
MCO,Moody's Corporation,Financial Services,519.11,18,43.0,3.0,28.06,2.31,80.0,20.0,90.0,-2.1484968114181693,Q4
VIPS,Vipshop Holdings Limited,Consumer Cyclical,17.355,17,45.0,47.0,0.9,0.17,74.0,19.0,78.9,-3.8073908174692037,Q3
